"","x"
"1","Plekhb2"
"2","Mrpl30"
"3","Coq10b"
"4","Aox1"
"5","Ndufb3"
"6","Sp100"
"7","Cxcr7"
"8","Gpc1"
"9","Slc41a1"
"10","Klhdc8a"
"11","Brp44"
"12","Creg1"
"13","Rxrg"
"14","Efcab2"
"15","Gm10925"
"16","Ankrd23"
"17","Fhl2"
"18","Trak2"
"19","Myl1"
"20","Atg9a"
"21","Tuba4a"
"22","Pfkfb2"
"23","Mapkapk2"
"24","Cfh"
"25","Gm5532"
"26","Fmo2"
"27","Mgst3"
"28","Atp1a2"
"29","Ifi205"
"30","Txlnb"
"31","Sesn1"
"32","P4ha1"
"33","Psap"
"34","Rhobtb1"
"35","Chchd10"
"36","Bsg"
"37","Hcn2"
"38","Ndufs7"
"39","Apba3"
"40","Pah"
"41","Dcn"
"42","Ptprb"
"43","Itga7"
"44","Amd1"
"45","Ddit4"
"46","Mypn"
"47","Cisd1"
"48","D10Jhu81e"
"49","Chpt1"
"50","Nudt4"
"51","Lyz2"
"52","Coq10a"
"53","Ogdh"
"54","Psme4"
"55","Hba-a2"
"56","Gfpt2"
"57","Map2k3"
"58","Kif1c"
"59","Rasl10b"
"60","Tcap"
"61","Mapt"
"62","Ace"
"63","Taco1"
"64","Mtfp1"
"65","Ccng1"
"66","Cyfip2"
"67","Pdlim4"
"68","Pfas"
"69","Slc2a4"
"70","Sgca"
"71","Pdk2"
"72","Atp5g1"
"73","Gm10039"
"74","Stat3"
"75","Abca8a"
"76","Acox1"
"77","Nampt"
"78","Pnpla8"
"79","Ubxn2a"
"80","Lpin1"
"81","Egln3"
"82","Aldh6a1"
"83","Slc25a29"
"84","Ankrd9"
"85","Hist1h2bc"
"86","Ell2"
"87","Mtr"
"88","Gm11273"
"89","Acot13"
"90","Uqcrfs1"
"91","Mylk4"
"92","F13a1"
"93","Gfod1"
"94","Ccdc90a"
"95","Wnk2"
"96","Agtpbp1"
"97","Ckmt2"
"98","Cmya5"
"99","Pik3r1"
"100","Apoo-ps"
"101","Thrb"
"102","Asb14"
"103","Lrtm1"
"104","Galntl2"
"105","Ogdhl"
"106","Ang,Rnase4"
"107","Ctsb"
"108","Scara5"
"109","Clu"
"110","Phyhip"
"111","Sucla2"
"112","Nr1d2"
"113","3425401B19Rik"
"114","Kpna3"
"115","Ephx2"
"116","Dock5"
"117","Slc39a14"
"118","Oxct1"
"119","Ank"
"120","Gpt"
"121","Csdc2"
"122","Pfkm"
"123","Gpd1"
"124","Nr4a1"
"125","Tenc1"
"126","Igfbp6"
"127","Abra"
"128","Gm10020"
"129","Fbxo32"
"130","Lynx1"
"131","Ly6a"
"132","Ly6c1"
"133","Mb"
"134","Tob2"
"135","Ttll1"
"136","Abcc1"
"137","Cebpd"
"138","Bdh1"
"139","Retnla"
"140","Cpox"
"141","Jam2"
"142","D16H22S680E"
"143","Bcl6"
"144","Lrrc15"
"145","Col8a1"
"146","Brp44l"
"147","Smoc2"
"148","Rpl3l"
"149","Sepx1"
"150","Pacsin1"
"151","Anks1"
"152","BC004004"
"153","Pi16"
"154","Mut"
"155","Clic5"
"156","Fem1a"
"157","Ndufa11"
"158","Trip10"
"159","Epas1"
"160","Ttc7"
"161","Slc9a3r2"
"162","Ndufb10"
"163","Glo1"
"164","C4b"
"165","Plin4"
"166","Plin5"
"167","Lrg1"
"168","Xdh"
"169","Lims2"
"170","Sh3rf2"
"171","Iigp1"
"172","Reep5"
"173","Gm1614"
"174","Ndufa2"
"175","4933403F05Rik"
"176","Doc2g,Nudt8"
"177","Gal3st3"
"178","Gm5514"
"179","Klf9"
"180","Neat1"
"181","Gda"
"182","Ppp1r3c"
"183","Got1"
"184","Scd1"
"185","Kcnip2"
"186","Gpam"
"187","Phyh"
"188","Gsn"
"189","Arpc5l"
"190","Xirp2"
"191","Gm13910"
"192","Mavs"
"193","Gm14420"
"194","Meig1"
"195","Optn"
"196","Tubb4b"
"197","Ptgds"
"198","Itgb6"
"199","Scn7a"
"200","Serping1"
"201","A430105I19Rik"
"202","Gpcpd1"
"203","Thbd"
"204","Cst3"
"205","2310001A20Rik"
"206","Acss1"
"207","Fitm2"
"208","Atp9a"
"209","Eef1a2"
"210","Pkia"
"211","Nceh1"
"212","Mfn1"
"213","Rnf13"
"214","P2ry1"
"215","Hfe2"
"216","Eif4e"
"217","Tmem144"
"218","Sema4a"
"219","S100a1"
"220","Pde4dip"
"221","Fam46c"
"222","Csf1"
"223","Gstm1"
"224","Myoz2"
"225","Gm2078,Mir1895"
"226","Pdlim5"
"227","Dnajb4"
"228","Acadm"
"229","Dnajb5"
"230","Murc"
"231","Gm12824"
"232","Stk40"
"233","Fndc5"
"234","Aldh4a1"
"235","Klhl21"
"236","Tmem52"
"237","2310042D19Rik"
"238","Pm20d2"
"239","Tomm5"
"240","Ptpn3"
"241","Scp2"
"242","Extl1"
"243","C1qb"
"244","C1qc"
"245","C1qa"
"246","Pink1"
"247","Fblim1"
"248","Slc25a34"
"249","2810405K02Rik"
"250","Abcb4"
"251","Hadhb"
"252","Kcnk3"
"253","Trim54"
"254","Sod3"
"255","Art3"
"256","Tesc"
"257","Rasa4"
"258","2810453I06Rik"
"259","Asb10"
"260","Htra3"
"261","Wfs1"
"262","Yipf7"
"263","Tecrl"
"264","Scarb2"
"265","Hspb8"
"266","Ptpn11"
"267","Acad12"
"268","Rilpl1"
"269","Ubc"
"270","Serpine1"
"271","Gna12"
"272","Flt1"
"273","Gm16854"
"274","Kcnd2"
"275","Asb15"
"276","Lmod2"
"277","2210408F21Rik"
"278","Gstk1"
"279","Aqp1"
"280","St3gal5"
"281","Dysf"
"282","Klf15"
"283","Slc41a3"
"284","Bhlhe40"
"285","Tuba8"
"286","Ndufa4"
"287","Ppp1r3a"
"288","Podxl"
"289","Inmt"
"290","Hk2"
"291","Fkbp4"
"292","Tmtc1"
"293","Ech1"
"294","Cox7a1"
"295","Hspb6"
"296","Slc17a7"
"297","Hrc"
"298","Bcat2"
"299","Tmem143"
"300","Pcsk6"
"301","Fam174b"
"302","Me3"
"303","Art1"
"304","Smpd1"
"305","Tufm"
"306","Trim72"
"307","Bag3"
"308","Pnpla2"
"309","Bckdha"
"310","Mybpc2"
"311","Myh14"
"312","Fcgrt"
"313","Svip"
"314","Snrpn"
"315","Fah"
"316","Tmem126a"
"317","Thrsp"
"318","Dgat2"
"319","P2ry2"
"320","Hbb-b2"
"321","Hbb-b1"
"322","Cox6a2"
"323","Bnip3"
"324","Cox8b"
"325","Ifitm3"
"326","6330512M04Rik,Ctsd"
"327","Ank1"
"328","Prosc"
"329","Tmem66"
"330","Mfap3l"
"331","Lpl"
"332","Tmem38a"
"333","Gpt2"
"334","Mt2"
"335","Mt1"
"336","Herpud1"
"337","Gpr56"
"338","Pdpr"
"339","Nudt7"
"340","Gm9755"
"341","Slc35e1"
"342","Tecr"
"343","Kifc3"
"344","Nqo1"
"345","Egln1"
"346","Pde4a"
"347","Scn4b"
"348","Arhgap20"
"349","Acad11,Nphp3"
"350","Twf2"
"351","Lrrc2"
"352","Golga4"
"353","Zfp651"
"354","D9Ertd402e"
"355","Clec3b"
"356","Atp5l"
"357","Me1"
"358","Ephb1"
"359","Alas1"
"360","Slc38a3"
"361","Scn5a"
"362","Hhatl"
"363","Scp2-ps2"
"364","Mid1ip1"
"365","Alas2"
"366","Asb11"
"367","Magix"
"368","Maob"
"369","Igsf1"
"370","Ubl4"
"371","Vsig4"
"372","Phka1"
"373","Ddx3y"
"374","Dst"
"375","Tmem182"
"376","Glul"
"377","Mreg"
"378","Srgn"
"379","Adamtsl5"
"380","Dusp18"
"381","Irgm2"
"382","Slc36a2"
"383","Slc25a11"
"384","L2hgdh"
"385","Gm8113"
"386","Mettl7a1"
"387","Sod2"
"388","Sik1"
"389","Myo5b"
"390","Sorbs1"
"391","BC029722"
"392","Mme"
"393","Ppap2b"
"394","Asap3"
"395","Decr1"
"396","Ndufs5"
"397","Plekhm2"
"398","Coq5"
"399","Pptc7"
"400","Srrm4"
"401","Slc25a13"
"402","Cycs"
"403","Ndufa3"
"404","Scn1b"
"405","Slc44a2"
"406","Cs"
"407","Rhbdl3"
"408","Acadvl"
"409","Cygb"
"410","Lrrc3b"
"411","Ndrg2"
"412","Ly6e"
"413","Gm10250"
"414","Tfrc"
"415","Parp14"
"416","Mrc1"
"417","Ppapdc3"
"418","B2m"
"419","Plk1s1"
"420","Intu"
"421","Larp1b"
"422","Sdhb"
"423","Cpt2"
"424","Cd36"
"425","Lmcd1"
"426","Gabarapl1"
"427","Nol3"
"428","Itgb1bp2"
"429","Ndufa1"
"430","Cacna1s"
"431","Slco5a1"
"432","Hba-a1"
"433","P2rx5"
"434","Cd300lg"
"435","Lrrc14b"
"436","Rasgrf2"
"437","Sdr39u1"
"438","Pstpip2"
"439","Yif1a"
"440","Pla2g16"
"441","Gsto1"
"442","Rom1"
"443","Bdnf"
"444","B230118H07Rik,Rag1"
"445","Gpr157"
"446","Otud6b"
"447","Fosl2"
"448","Ndufa9"
"449","Adcy7"
"450","Uqcrc1"
"451","Fdx1"
"452","Rai2"
"453","Pdha1"
"454","Fam174a"
"455","Adck3"
"456","Sar1b"
"457","Gm12231"
"458","Adra1a"
"459","6330409N04Rik"
"460","Rcan2"
"461","Fas"
"462","Sdhaf2"
"463","Nr4a3"
"464","AI464131"
"465","Atp8a1"
"466","Chrm2"
"467","Etfb"
"468","Lamb2"
"469","Hdlbp"
"470","Igtp"
"471","Nek9"
"472","Erap1"
"473","Isca1"
"474","Abcc4"
"475","Alkbh7"
"476","6330416G13Rik"
"477","Arhgef19"
"478","Fbxo6"
"479","Suclg1"
"480","Tgoln1"
"481","Opa3"
"482","Junb"
"483","Gm8116"
"484","Fyco1"
"485","Prelp"
"486","Pln"
"487","Armc2"
"488","Scn4a"
"489","Wipi1"
"490","Klhdc1"
"491","Crip1"
"492","Ndufb9"
"493","Trib1"
"494","Gm20538,Ndufb8,Sec31b"
"495","Gm13443"
"496","Gm14148"
"497","Ndufa8"
"498","Cat"
"499","Gstm7"
"500","Mrpl37"
"501","Mapre3"
"502","Golga3"
"503","Ret"
"504","Pdp2"
"505","Fnip1"
"506","Cbr2"
"507","Cmbl"
"508","Ankrd33b"
"509","Hmcn2"
"510","4930471M23Rik"
"511","Setd8"
"512","Sgcb"
"513","Cd151"
"514","1810011O10Rik"
"515","Ano10"
"516","Des"
"517","Cox7c"
"518","Dnaja3,Vasn"
"519","2310010M20Rik"
"520","Dhrs3"
"521","Errfi1"
"522","Ppm1k"
"523","Plbd1"
"524","Fam63b"
"525","Gm2962"
"526","Lingo3"
"527","1190002H23Rik"
"528","Fbxo40"
"529","Clip4"
"530","Plin3"
"531","Apip"
"532","Pdhx"
"533","Steap4"
"534","Pvr"
"535","Rnf128"
"536","Ttc7b"
"537","Nudt18"
"538","Gm6055"
"539","Ctsf"
"540","Gm561"
"541","Cyp4b1"
"542","Gm15459"
"543","Vamp5"
"544","Axl"
"545","Lamp1"
"546","Fgf16"
"547","Gm6206"
"548","Stradb"
"549","Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a8,Ugt1a9"
"550","Plekha6"
"551","AI607873"
"552","Fuca2"
"553","Cfd"
"554","Mterfd3"
"555","Tmem65"
"556","Adcy9"
"557","Ndufv3"
"558","Coq3"
"559","Cyb5rl"
"560","Nt5c1a"
"561","Ndufa13"
"562","Dlat"
"563","Rgs5"
"564","Atf6"
"565","Ephx1"
"566","G0s2"
"567","1600012F09Rik"
"568","2410127L17Rik"
"569","Cntf,Zfp91"
"570","C330006A16Rik"
"571","BC006779"
"572","Gstm2"
"573","Atpaf1"
"574","Tmem82"
"575","Aldh2"
"576","Clpx"
"577","Tcp11l2"
"578","Phf15"
"579","Abca8b"
"580","2900010M23Rik"
"581","D830046C22Rik,Gpr146"
"582","Slc35f5"
"583","Rtn4ip1"
"584","Scn4a"
"585","4933426M11Rik"
"586","Sos2"
"587","Tap2"
"588","Cd74"
"589","Jph2"
"590","Atp5k"
"591","Abcb9"
"592","Arl6ip5"
"593","Ppa1"
"594","Cdc34"
"595","4933439F18Rik"
"596","Gpihbp1"
"597","Usp24"
"598","Tcea3"
"599","Rtn2"
"600","Mrpl4"
"601","Slc9a6"
"602","Tmco1"
"603","Kremen1"
"604","Pygm"
"605","Ms4a4d"
"606","Aldh1a1"
"607","Fgfr3"
"608","Icosl"
"609","Gm8355"
"610","Rtn4r"
"611","Ifnar2,Il10rb,RP23-190G10.4"
"612","Ndufb4"
"613","Pygb"
"614","Klhl7"
"615","Cryba4"
"616","Eps8l2"
"617","Asb5"
"618","Ldhd"
"619","Tmem25"
"620","Tmed4"
"621","E2f6"
"622","Gm5436"
"623","Gm7204"
"624","Ndufv2"
"625","Batf2"
"626","AI314180"
"627","Csrp3"
"628","Rassf3"
"629","Sirt5"
"630","Naprt1"
"631","0610010O12Rik"
"632","Fsd1l"
"633","Corin"
"634","Ptpn6"
"635","Rab3a"
"636","Dnaja2"
"637","Ndufa10"
"638","Rgs4"
"639","Rangrf"
"640","Hist1h4h"
"641","Tm9sf2"
"642","Fam107a"
"643","Ip6k3"
"644","Ndufb6"
"645","Clec2d"
"646","Scube2"
"647","Ogfod1"
"648","Got2"
"649","Sema3f"
"650","Ugp2"
"651","Rap1gap2"
"652","Serpinb6b"
"653","Vdac3-ps1"
