"","x"
"1","Lrrfip1"
"2","Ramp1"
"3","En1"
"4","Lrrn2"
"5","Csrp1"
"6","Phlda3"
"7","Tnni1"
"8","Rnasel"
"9","Kif26b"
"10","Mcm3"
"11","Col5a2"
"12","Fn1"
"13","Hjurp"
"14","Arl4c"
"15","Nckap5"
"16","Mcm6"
"17","Ppfia4"
"18","Nav1"
"19","Rgl1"
"20","Ralgps2"
"21","Casq1"
"22","Vash2"
"23","Plagl1"
"24","Ptprk"
"25","Tbata"
"26","Ctnna3"
"27","Lta4h"
"28","Btg1"
"29","Gm15662"
"30","Hey2"
"31","Marcks"
"32","Col18a1"
"33","Tmpo"
"34","Rps15a-ps1"
"35","Srgap1"
"36","Upp1"
"37","Bcl11a"
"38","Sh3pxd2b"
"39","Gm12124"
"40","Adam19"
"41","Mmgt2"
"42","Rtn4rl1"
"43","Mbtd1"
"44","Col1a1"
"45","Ppp1r1b"
"46","Myl4"
"47","Map2k6"
"48","Ddc"
"49","Grb10"
"50","2810442I21Rik"
"51","Meis1"
"52","5730522E02Rik"
"53","Hmmr"
"54","Pttg1"
"55","Hand1"
"56","Gm12245"
"57","Wsb1"
"58","Slfn9"
"59","Ypel2"
"60","Top2a"
"61","Arhgap27"
"62","Fasn"
"63","Klf11"
"64","Rrm2"
"65","Pxdn"
"66","Lamb1"
"67","Acot1"
"68","Nrxn3"
"69","Meg3,Mir1906-1,Mir770"
"70","Rian,SNORD113"
"71","Ncapg2"
"72","Rnf144a"
"73","Sox11"
"74","Mis18bp1"
"75","Rpl10l"
"76","Actn1"
"77","Gli3"
"78","Fam65b"
"79","Fam172a"
"80","Lhfpl2"
"81","Adamts6"
"82","Plk2"
"83","Akr1c18"
"84","Sox4"
"85","Gmds"
"86","Tubb2b"
"87","Ror2"
"88","Mtap1b"
"89","Mmp14"
"90","Slitrk5"
"91","Gpc6"
"92","Farp1"
"93","Gng2"
"94","Wdhd1"
"95","Jub"
"96","Slc22a17"
"97","RP23-358B23.3"
"98","Col14a1"
"99","Wisp1"
"100","Srebf2"
"101","Troap"
"102","Sntb1"
"103","Mtss1"
"104","Cbx6,Npcd,Nptxr"
"105","Rpl3"
"106","Slc38a1"
"107","Slc38a4"
"108","Racgap1"
"109","Snx29"
"110","C330027C09Rik"
"111","Chaf1b"
"112","Igf2bp2"
"113","Phldb2"
"114","Kcne1"
"115","Ncrna00085"
"116","Dcpp1,Dcpp2"
"117","Neurl1b"
"118","Cyp39a1"
"119","Supt3h"
"120","Uhrf1"
"121","Epb4.1l3"
"122","Gm6476"
"123","Cacna1h"
"124","Angptl4"
"125","Tubb5"
"126","AY036118"
"127","Strn"
"128","Lmnb1"
"129","Adamts19"
"130","Pde6a"
"131","Nedd4l"
"132","D0H4S114"
"133","Dpysl3"
"134","Fbn2"
"135","SNORD25,SNORD26,SNORD27,SNORD28,SNORD29,SNORD30,SNORD31,Snhg1,Snord22"
"136","Tmem2"
"137","Kif11"
"138","Scd2"
"139","Scd4"
"140","Vti1a"
"141","Tcf7l2"
"142","2010317E24Rik"
"143","Col5a1"
"144","Lass6"
"145","Mpped2"
"146","D2Ertd750e"
"147","Bcl2l11"
"148","Tpx2"
"149","Myl9"
"150","Ube2c"
"151","Camk1d"
"152","Rsu1"
"153","Pbx3"
